season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2021,Joel Embiid,7-0,280,16,2021-01-29,26,26:38,10,19,.526,1,2,.500,16,18,.889,3,8,11,3,1,0,0,3,37,+21
2021,Joel Embiid,7-0,280,,2021-01-31,26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2021,Joel Embiid,7-0,280,17,2021-02-03,26,33:45,11,17,.647,3,4,.750,9,10,.900,0,11,11,2,2,1,5,3,34,+12
2021,Joel Embiid,7-0,280,18,2021-02-04,26,33:32,14,21,.667,0,1,.000,9,9,1.000,1,4,5,1,1,1,5,1,37,-23
2021,Joel Embiid,7-0,280,19,2021-02-06,26,31:04,10,21,.476,1,7,.143,12,14,.857,2,7,9,3,3,0,5,2,33,+17
2021,Joel Embiid,7-0,280,20,2021-02-09,26,34:58,6,15,.400,0,2,.000,13,14,.929,4,13,17,6,2,2,4,3,25,+9
2021,Joel Embiid,7-0,280,21,2021-02-11,26,34:39,13,25,.520,1,2,.500,8,11,.727,3,6,9,3,0,2,3,3,35,+9
2021,Joel Embiid,7-0,280,22,2021-02-13,26,36:24,12,23,.522,2,2,1.000,9,10,.900,3,5,8,2,1,0,2,3,35,-2
2021,Joel Embiid,7-0,280,,2021-02-15,26,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2021,Joel Embiid,7-0,280,23,2021-02-17,26,36:53,10,21,.476,1,3,.333,10,12,.833,1,10,11,9,2,1,6,4,31,+4
2021,Joel Embiid,7-0,280,24,2021-02-19,26,35:16,17,26,.654,1,2,.500,15,17,.882,6,11,17,5,2,4,2,2,50,+22
2021,Joel Embiid,7-0,280,25,2021-02-21,26,36:16,6,20,.300,1,3,.333,12,14,.857,2,15,17,2,0,2,2,0,25,-1
2021,Joel Embiid,7-0,280,26,2021-02-23,26,35:38,3,13,.231,1,1,1.000,11,12,.917,3,9,12,2,1,1,6,4,18,+2
2021,Joel Embiid,7-0,280,27,2021-02-25,26,27:41,5,20,.250,2,5,.400,11,12,.917,3,6,9,4,2,1,0,3,23,+7
2021,Joel Embiid,7-0,280,28,2021-02-27,26,40:28,13,22,.591,2,3,.667,14,16,.875,3,10,13,6,1,2,3,4,42,+5
2021,Joel Embiid,7-0,280,29,2021-03-01,26,26:59,10,17,.588,1,2,.500,3,3,1.000,0,13,13,5,0,1,2,1,24,+22
2021,Joel Embiid,7-0,280,30,2021-03-03,26,39:36,14,27,.519,2,5,.400,10,13,.769,4,15,19,3,1,2,2,3,40,+10
